$NML Br1 inflow Tw year 2005 gap filled with dly averaged filled Tw YC 02/02/2023,
",,,",
Jday,Tw (deg C)
45.292,5.729836308
45.333,5.729836308
45.375,5.63153619
45.417,5.63153619
45.458,5.63153619
45.500,5.63153619
45.542,5.63153619
45.583,5.63153619
45.625,5.63153619
45.667,5.63153619
45.708,5.63153619
45.750,5.729836308
45.792,5.729836308
45.833,5.729836308
45.875,5.729836308
45.917,5.82238027
45.958,5.82238027
46.000,5.82238027
46.042,5.856185239
46.083,5.845290298
46.125,5.77851987
46.167,5.77851987
46.208,5.77851987
46.250,5.77851987
46.292,5.715922593
46.333,5.705027652
46.375,5.705027652
46.417,5.705027652
46.458,5.705027652
46.500,5.638257224
46.542,5.694813644
46.583,5.705027652
46.625,5.705027652
46.667,5.705027652
46.708,5.705027652
46.750,5.705027652
46.792,5.705027652
46.833,5.77851987
46.875,5.77851987
46.917,5.77851987
46.958,5.77851987
47.000,5.767624928
47.042,5.731904126
47.083,5.809581804
47.125,5.809581804
47.167,5.721393616
47.208,5.799071294
47.250,5.799071294
47.292,5.710883105
47.333,5.710883105
47.375,5.710883105
47.417,5.710883105
47.458,5.710883105
47.500,5.721393616
47.542,5.799071294
47.583,5.809581804
47.625,5.820793015
47.667,5.904827049
47.708,5.904827049
47.750,5.91533756
47.792,5.993015237
47.833,5.993015237
47.875,5.993015237
47.917,6.06583806
47.958,6.06583806
48.000,6.06583806
48.042,5.854739679
48.083,5.854739679
48.125,5.854739679
48.167,5.845941564
48.208,5.845941564
48.250,5.777167016
48.292,5.777167016
48.333,5.768918783
48.375,5.704943921
48.417,5.696695688
48.458,5.696695688
48.500,5.704943921
48.542,5.644967487
48.583,5.65321572
48.625,5.662013834
48.667,5.730788383
48.708,5.739036615
48.750,5.747284848
48.792,5.81125971
48.833,5.81125971
48.875,5.880034259
48.917,5.880034259
48.958,5.880034259
49.000,5.880034259
49.042,5.812674081
49.083,5.802574892
49.125,5.802574892
49.167,5.793106903
49.208,5.793106903
49.250,5.721420699
49.292,5.721420699
49.333,5.644955415
49.375,5.644955415
49.417,5.644955415
49.458,5.634856227
49.500,5.634856227
49.542,5.634856227
49.583,5.644955415
49.625,5.644955415
49.667,5.655054604
49.708,5.655054604
49.750,5.655054604
49.792,5.655054604
49.833,5.655054604
49.875,5.721420699
49.917,5.711321511
49.958,5.711321511
50.000,5.701222322
50.042,5.671764989
50.083,5.671764989
50.125,5.661285947
50.167,5.589269979
50.208,5.578092334
